date,open,high,pre_close,change,pct_chg,vol,close
2012/1/4,4.9131,4.9131,4.9131,-0.1356,-2.76,147910.98,4.7775
2012/1/5,4.7775,4.9004,4.7775,0.0725,1.5175,244080.05,4.85
2012/1/6,4.8374,4.8878,4.85,-0.0126,-0.2598,133151.15,4.8374
2012/1/9,4.8406,4.9824,4.8374,0.1355,2.8011,221138.66,4.9729
2012/1/20,5.2723,5.3385,4.9729,0.3152,6.3384,586675.66,5.2881
2012/1/30,5.2975,5.3385,5.2881,-0.0221,-0.4179,332988.45,5.266
2012/1/31,5.2692,5.2944,5.266,-0.022,-0.4178,173265.47,5.244
2012/2/1,5.225,5.2944,5.244,-0.0599,-1.1423,185158.99,5.1841
2012/2/2,5.1998,5.3448,5.1841,0.1481,2.8568,244623.46,5.3322
2012/2/3,5.3133,5.37,5.3322,0.0221,0.4145,229964.46,5.3543
2012/2/6,5.3574,5.3637,5.3543,-0.0505,-0.9432,157808.15,5.3038
2012/2/7,5.2755,5.2881,5.3038,-0.0756,-1.4254,122086.36,5.2282
2012/2/8,5.225,5.3606,5.2282,0.0977,1.8687,172272.57,5.3259
2012/2/10,5.2944,5.3511,5.3259,0.0031,0.0582,182118.47,5.329
2012/2/13,5.2912,5.2975,5.329,-0.0724,-1.3586,215066.88,5.2566
2012/2/14,5.2471,5.2692,5.2566,-0.0253,-0.4813,108546.44,5.2313
2012/2/15,5.2282,5.2818,5.2313,0.0063,0.1204,201305.83,5.2376
2012/2/16,5.2376,5.2597,5.2376,-0.0535,-1.0215,273692.17,5.1841
2012/2/17,5.2124,5.2219,5.1841,0,0,150690.47,5.1841
2012/2/20,5.2755,5.2786,5.1841,0,0,224205.77,5.1841
2012/2/21,5.1935,5.2124,5.1841,0.0126,0.2431,150264.88,5.1967
2012/2/22,5.1967,5.2471,5.1967,0.0409,0.787,317397.76,5.2376
2012/2/23,5.2376,5.2818,5.2376,0.0032,0.0611,226267.61,5.2408
2012/2/24,5.2597,5.3164,5.2408,0.0756,1.4425,364104.65,5.3164
2012/2/27,5.3259,5.4173,5.3164,0.0158,0.2972,447617.11,5.3322
2012/2/28,5.3353,5.5087,5.3322,0.104,1.9504,460141.84,5.4362
2012/2/29,5.4425,5.4425,5.4362,-0.0473,-0.8701,263024.62,5.3889
2012/3/1,5.3826,5.4961,5.3889,0.041,0.7608,291621.31,5.4299
2012/3/2,5.4299,5.515,5.4299,0.0788,1.4512,290973.18,5.5087
2012/3/5,5.5244,5.6032,5.5087,-0.0662,-1.2017,350417.3,5.4425
2012/3/6,5.4236,5.4519,5.4425,-0.1009,-1.8539,331374.14,5.3416
2012/3/7,5.2944,5.3669,5.3416,-0.0472,-0.8836,201371.3,5.2944
2012/3/8,5.3322,5.4078,5.2944,0.0725,1.3694,288782.7,5.3669
2012/3/9,5.3259,5.3385,5.3669,-0.0505,-0.941,530536.44,5.3164
2012/3/12,5.3196,5.3196,5.3164,-0.0535,-1.0063,270647.87,5.2629
2012/3/13,5.2786,5.3196,5.2629,0.0472,0.8968,237530.57,5.3101
2012/3/14,5.3322,5.37,5.3101,-0.1166,-2.1958,439964.05,5.1935
2012/3/15,5.1967,5.225,5.1935,-0.0725,-1.396,258048.71,5.121
2012/3/16,5.1273,5.1715,5.121,0.0473,0.9236,167865.52,5.1683
2012/3/19,5.1494,5.1683,5.1683,-0.0157,-0.3038,167464.74,5.1526
2012/3/20,5.1431,5.1463,5.1526,-0.0883,-1.7137,203040.48,5.0643
2012/3/21,5.1053,5.1116,5.0643,0.0095,0.1876,150404.03,5.0738
2012/3/22,5.0769,5.1305,5.0738,0.0283,0.5578,179388.49,5.1021
2012/3/23,5.0769,5.0832,5.1021,-0.0567,-1.1113,119016.09,5.0454
2012/3/26,5.0486,5.0675,5.0454,0.0095,0.1883,82461.21,5.0549
2012/3/27,5.0769,5.0927,5.0549,0.0094,0.186,111209.21,5.0643
2012/3/28,5.0612,5.0738,5.0643,-0.0914,-1.8048,204482.97,4.9729
2012/3/29,4.9729,4.9729,4.9729,-0.0662,-1.3312,188865.84,4.9067
2012/3/30,4.9257,4.9572,4.9067,0.0442,0.9008,106312.46,4.9509
2012/4/5,4.9509,4.9761,4.9509,0.0094,0.1899,183792.54,4.9603
2012/4/6,4.9477,5.0454,4.9603,0.0788,1.5886,193875.54,5.0391
2012/4/9,5.0107,5.0107,5.0391,-0.0756,-1.5003,93197.14,4.9635
2012/4/10,4.954,5.0076,4.9635,0.0409,0.824,196998.5,5.0044
2012/4/11,4.9414,5.0234,5.0044,-0.0157,-0.3137,105143.65,4.9887
2012/4/12,4.9918,5.1494,4.9887,0.1576,3.1591,275779.46,5.1463
2012/4/13,5.1526,5.2345,5.1463,-0.0095,-0.1846,337744.71,5.1368
2012/4/16,5.1021,5.1526,5.1368,-0.0378,-0.7359,133673.17,5.099
2012/4/17,5.0864,5.1147,5.099,-0.0599,-1.1747,118951.19,5.0391
2012/4/18,5.0486,5.1463,5.0391,0.0851,1.6888,159600.9,5.1242
2012/4/19,5.1368,5.1589,5.1242,0.0315,0.6147,137391.86,5.1557
2012/4/20,5.1368,5.2313,5.1557,0.0693,1.3441,258074.87,5.225
2012/4/23,5.2124,5.2376,5.225,-0.0504,-0.9646,197381.12,5.1746
2012/4/24,5.1683,5.3952,5.1746,0.1072,2.0717,478040.23,5.2818
2012/4/25,5.2376,5.3133,5.2818,0.0315,0.5964,208923.65,5.3133
2012/4/26,5.3196,5.329,5.3133,-0.0883,-1.6619,283414.42,5.225
2012/4/27,5.2408,5.2786,5.225,-0.0063,-0.1206,166617.06,5.2187
2012/5/2,5.2692,5.3385,5.2187,0.0694,1.3298,261172.1,5.2881
2012/5/3,5.2881,5.307,5.2881,-0.0473,-0.8945,161487.09,5.2408
2012/5/4,5.2345,5.2723,5.2408,0.0252,0.4808,140295.57,5.266
2012/5/7,5.2345,5.2755,5.266,-0.0347,-0.6589,255730.94,5.2313
2012/5/8,5.2187,5.225,5.2313,-0.0189,-0.3613,175129.97,5.2124
2012/5/9,5.1841,5.1904,5.2124,-0.1197,-2.2964,213676.75,5.0927
2012/5/10,5.0927,5.1242,5.0927,-0.0095,-0.1865,129428.34,5.0832
2012/5/11,5.0832,5.1053,5.0832,-0.0346,-0.6807,162519.8,5.0486
2012/5/14,5.0864,5.0927,5.0486,-0.0252,-0.4991,206960,5.0234
2012/5/15,5.0107,5.0612,5.0234,0.0252,0.5017,134454.78,5.0486
2012/5/16,5.0423,5.0423,5.0486,-0.082,-1.6242,150305.11,4.9666
2012/5/17,4.9792,5.0328,4.9666,0.0568,1.1436,133389.99,5.0234
2012/5/18,4.9792,5.0139,5.0234,-0.0694,-1.3815,157863.19,4.954
2012/5/21,4.954,4.9918,4.954,0.0158,0.3189,85694.85,4.9698
2012/5/22,4.9887,5.0391,4.9698,0.063,1.2677,113598.98,5.0328
2012/5/24,5.0044,5.0139,5.0328,-0.0819,-1.6273,194073.74,4.9509
2012/5/25,4.954,4.9666,4.9509,-0.0284,-0.5736,98929.22,4.9225
2012/5/28,4.9225,4.9824,4.9225,0.0599,1.2169,137202.37,4.9824
2012/5/29,4.9792,5.0297,4.9824,0.0378,0.7587,286808.61,5.0202
2012/5/30,4.9981,5.0044,5.0202,-0.0725,-1.4442,217125.93,4.9477
