date,open,high,low,close,pre_close,change,pct_chg,vol,amount
20120104,8.17,8.2,7.91,7.91,8.09,-0.18,-2.225,4654.69,3763.8329
20120105,7.85,7.91,7.32,7.33,7.91,-0.58,-7.3325,3921.02,2972.4347
20120106,7.46,7.46,7.24,7.36,7.33,0.03,0.4093,3580.64,2622.7898
20120109,7.4,7.75,7.36,7.7,7.36,0.34,4.6196,5988.59,4563.879
20120110,7.75,8.23,7.7,8.16,7.7,0.46,5.974,14605.36,11714.3578
20120111,8.17,8.19,7.97,8.08,8.16,-0.08,-0.9804,10046.18,8133.5516
20120112,8.05,8.17,8,8.12,8.08,0.04,0.495,17951.64,14542.9538
20120113,8.12,8.18,7.73,7.91,8.12,-0.21,-2.5862,13327.44,10566.5938
20120116,7.85,7.86,7.6,7.68,7.91,-0.23,-2.9077,6017.62,4620.7577
20120117,7.8,8.45,7.8,8.45,7.68,0.77,10.026,58748.34,49023.5043
20120118,8.06,8.35,8.03,8.09,8.45,-0.36,-4.2604,41887.38,34230.8028
20120119,7.91,8.27,7.7,8.08,8.09,-0.01,-0.1236,20680.37,16713.4731
20120120,8.09,8.23,7.91,8.13,8.08,0.05,0.6188,18616.63,15130.7825
20120130,8.11,8.36,8.1,8.14,8.13,0.01,0.123,13289,10915.6146
20120131,8.1,8.3,8.07,8.27,8.14,0.13,1.5971,15061.72,12351.8106
20120201,8.27,8.28,8.05,8.1,8.27,-0.17,-2.0556,15724.28,12870.0431
20120202,8.2,8.82,8.16,8.65,8.1,0.55,6.7901,44120.25,37477.0935
20120203,8.52,8.8,8.45,8.75,8.65,0.1,1.1561,31368.59,26933.826
20120206,8.75,8.75,8.5,8.66,8.75,-0.09,-1.0286,24502.98,21081.8784
20120207,8.62,8.62,8.33,8.4,8.66,-0.26,-3.0023,17968.45,15135.9933
20120208,8.35,8.59,8.35,8.59,8.4,0.19,2.2619,15313.33,13001.0395
20120209,8.59,8.7,8.47,8.64,8.59,0.05,0.5821,20763.25,17890.9951
20120210,8.56,8.73,8.56,8.65,8.64,0.01,0.1157,16622.14,14368.5708
20120213,8.59,8.85,8.5,8.77,8.65,0.12,1.3873,19234.32,16809.8069
20120214,8.77,8.8,8.63,8.7,8.77,-0.07,-0.7982,15805.7,13748.435
20120215,8.75,9.01,8.65,8.95,8.7,0.25,2.8736,22645.31,20133.684
20120216,8.91,9.19,8.8,9,8.95,0.05,0.5587,23537.92,21154.5833
20120217,8.97,9.03,8.81,8.9,9,-0.1,-1.1111,12740.06,11339.3964
20120220,8.98,9.07,8.86,8.89,8.9,-0.01,-0.1124,13925.58,12480.9879
