ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000001.SZ,20220831,1411.0,1456.0,1408.0,1453.0,1422.0,30.77,2.164,1653041.6,2091408.4
000001.SZ,20220830,1416.0,1429.0,1399.0,1422.0,1415.0,6.836,0.4832,799712.4,991447.6
000001.SZ,20220829,1424.0,1431.0,1403.0,1415.0,1437.0,-21.64,-1.507,924490.6,1145189.1
000001.SZ,20220826,1445.0,1453.0,1420.0,1437.0,1438.0,-1.14,-0.0792,927634.25,1168951.1
000001.SZ,20220825,1413.0,1442.0,1401.0,1438.0,1413.0,25.06,1.774,1064010.6,1329230.4
000001.SZ,20220824,1405.0,1429.0,1405.0,1413.0,1406.0,6.836,0.486,1295375.4,1613309.6
000001.SZ,20220823,1419.0,1423.0,1399.0,1406.0,1424.0,-18.23,-1.28,921463.06,1137300.4
000001.SZ,20220822,1433.0,1445.0,1414.0,1424.0,1432.0,-7.977,-0.557,1138076.6,1423361.9
000001.SZ,20220819,1398.0,1453.0,1393.0,1432.0,1396.0,36.47,2.611,2106417.2,2653471.0
000001.SZ,20220818,1422.0,1429.0,1385.0,1396.0,1413.0,-17.1,-1.21,1269701.0,1560630.6
000001.SZ,20220817,1384.0,1415.0,1375.0,1413.0,1382.0,30.77,2.227,1348506.6,1656961.6
000001.SZ,20220816,1380.0,1390.0,1379.0,1382.0,1380.0,2.28,0.1652,631223.7,765907.25
000001.SZ,20220815,1400.0,1408.0,1377.0,1380.0,1411.0,-30.77,-2.182,1172010.0,1425087.5
000001.SZ,20220812,1397.0,1414.0,1390.0,1411.0,1407.0,3.418,0.2429,820503.56,1010612.44
000001.SZ,20220811,1376.0,1412.0,1372.0,1407.0,1374.0,33.03,2.404,1399303.6,1710719.5
000001.SZ,20220810,1381.0,1395.0,1370.0,1374.0,1381.0,-6.836,-0.495,683023.2,825806.0
000001.SZ,20220809,1391.0,1392.0,1376.0,1381.0,1390.0,-9.12,-0.656,558447.56,677098.6
000001.SZ,20220808,1396.0,1408.0,1385.0,1390.0,1403.0,-12.53,-0.8936,551999.7,674950.94
000001.SZ,20220805,1382.0,1405.0,1365.0,1403.0,1385.0,17.1,1.233,765297.9,930836.4
000001.SZ,20220804,1379.0,1387.0,1370.0,1385.0,1371.0,14.81,1.081,602675.6,729351.7
000001.SZ,20220803,1389.0,1398.0,1368.0,1371.0,1397.0,-26.2,-1.876,746136.5,905653.3
000001.SZ,20220802,1392.0,1406.0,1360.0,1397.0,1415.0,-18.23,-1.288,1373009.2,1664397.6
000001.SZ,20220801,1442.0,1442.0,1413.0,1415.0,1445.0,-29.62,-2.05,1025732.7,1277987.0
000001.SZ,20220729,1467.0,1470.0,1441.0,1445.0,1467.0,-22.78,-1.553,831497.5,1059518.6
000001.SZ,20220728,1460.0,1471.0,1456.0,1467.0,1457.0,10.26,0.7036,750346.5,964903.7
000001.SZ,20220727,1464.0,1467.0,1450.0,1457.0,1471.0,-13.67,-0.9297,923914.06,1182889.8
000001.SZ,20220726,1453.0,1471.0,1448.0,1471.0,1461.0,10.26,0.702,1024048.8,1314310.5
000001.SZ,20220725,1458.0,1464.0,1444.0,1461.0,1460.0,1.14,0.0781,763955.8,976071.7
000001.SZ,20220722,1463.0,1473.0,1438.0,1460.0,1456.0,3.418,0.2347,1376509.8,1755555.8
000001.SZ,20220721,1491.0,1493.0,1454.0,1456.0,1499.0,-42.53,-2.838,1970387.9,2588696.2
000001.SZ,20220720,1503.0,1508.0,1494.0,1499.0,1502.0,-3.357,-0.2235,801458.7,1073936.2
000001.SZ,20220719,1493.0,1503.0,1486.0,1502.0,1499.0,3.357,0.224,755597.1,1008562.44
000001.SZ,20220718,1483.0,1504.0,1478.0,1499.0,1482.0,16.78,1.133,1153505.8,1536341.0
000001.SZ,20220715,1509.0,1518.0,1480.0,1482.0,1496.0,-14.55,-0.972,1598637.4,2139915.2
000001.SZ,20220714,1533.0,1534.0,1487.0,1496.0,1564.0,-67.1,-4.293,2632120.8,3534578.8
000001.SZ,20220713,1614.0,1620.0,1555.0,1564.0,1614.0,-50.38,-3.121,2175996.0,3056913.0
000001.SZ,20220712,1613.0,1649.0,1609.0,1614.0,1618.0,-4.477,-0.2766,742882.44,1078432.0
000001.SZ,20220711,1623.0,1631.0,1607.0,1618.0,1627.0,-8.95,-0.5503,611691.94,883613.75
000001.SZ,20220708,1623.0,1640.0,1608.0,1627.0,1614.0,13.43,0.832,639698.25,928850.4
000001.SZ,20220707,1627.0,1640.0,1609.0,1614.0,1626.0,-12.31,-0.7573,730161.0,1057696.5
000001.SZ,20220706,1660.0,1671.0,1618.0,1626.0,1669.0,-42.53,-2.549,1043335.25,1520022.5
000001.SZ,20220705,1678.0,1709.0,1659.0,1669.0,1672.0,-3.357,-0.2008,1115172.1,1674719.0
000001.SZ,20220704,1673.0,1677.0,1651.0,1672.0,1670.0,2.238,0.1342,834968.06,1241453.4
000001.SZ,20220701,1679.0,1687.0,1661.0,1670.0,1677.0,-6.715,-0.4004,779243.3,1164030.8
000001.SZ,20220630,1637.0,1681.0,1628.0,1677.0,1639.0,38.06,2.322,1548745.0,2304888.8
000001.SZ,20220629,1640.0,1668.0,1628.0,1639.0,1637.0,1.119,0.0684,1266547.2,1865064.6
000001.SZ,20220628,1620.0,1642.0,1613.0,1637.0,1622.0,15.67,0.9663,1125110.5,1638673.2
000001.SZ,20220627,1594.0,1630.0,1592.0,1622.0,1593.0,29.1,1.827,1497278.1,2166380.5
000001.SZ,20220624,1589.0,1595.0,1579.0,1593.0,1589.0,3.357,0.2113,866040.6,1227798.6
000001.SZ,20220623,1577.0,1593.0,1574.0,1589.0,1576.0,13.43,0.8525,806028.0,1140899.1
000001.SZ,20220622,1607.0,1607.0,1576.0,1576.0,1608.0,-32.47,-2.018,1056045.9,1498415.8
000001.SZ,20220621,1605.0,1637.0,1593.0,1608.0,1605.0,3.357,0.2092,1321794.0,1905346.0
000001.SZ,20220620,1616.0,1616.0,1596.0,1605.0,1617.0,-12.31,-0.761,1032166.8,1479529.8
000001.SZ,20220617,1603.0,1626.0,1589.0,1617.0,1616.0,1.119,0.0693,1053788.0,1513925.9
000001.SZ,20220616,1650.0,1660.0,1614.0,1616.0,1650.0,-33.56,-2.035,1332546.2,1939976.2
000001.SZ,20220615,1578.0,1691.0,1574.0,1650.0,1580.0,69.4,4.39,3413543.8,5010292.5
000001.SZ,20220614,1534.0,1581.0,1534.0,1580.0,1557.0,23.5,1.51,1151429.4,1602169.9
000001.SZ,20220613,1587.0,1588.0,1553.0,1557.0,1603.0,-45.88,-2.863,1547752.9,2163340.0
000001.SZ,20220610,1596.0,1604.0,1581.0,1603.0,1606.0,-3.357,-0.2091,1346012.2,1914639.8
000001.SZ,20220609,1583.0,1618.0,1578.0,1606.0,1585.0,21.27,1.342,1632901.4,2339986.8
000001.SZ,20220608,1585.0,1586.0,1568.0,1585.0,1585.0,0.0,0.0,1145521.2,1613525.0
000001.SZ,20220607,1569.0,1595.0,1566.0,1585.0,1586.0,-1.119,-0.0706,1315112.6,1860366.8
000001.SZ,20220606,1557.0,1586.0,1527.0,1586.0,1561.0,24.62,1.577,1710851.8,2370807.5
000001.SZ,20220602,1569.0,1570.0,1553.0,1561.0,1576.0,-14.55,-0.9233,979268.25,1363740.8
000001.SZ,20220601,1583.0,1583.0,1567.0,1576.0,1585.0,-8.95,-0.565,845299.0,1187423.8
000001.SZ,20220531,1575.0,1587.0,1567.0,1585.0,1576.0,8.95,0.5684,938868.56,1325012.0
000001.SZ,20220530,1596.0,1598.0,1571.0,1576.0,1587.0,-11.195,-0.705,896901.25,1265573.0
000001.SZ,20220527,1599.0,1606.0,1579.0,1587.0,1588.0,-1.119,-0.0705,723066.75,1029702.2
000001.SZ,20220526,1613.0,1615.0,1575.0,1588.0,1611.0,-22.39,-1.39,1011317.56,1435689.4
000001.SZ,20220525,1615.0,1622.0,1600.0,1611.0,1612.0,-1.119,-0.0694,603228.25,866228.94
000001.SZ,20220524,1664.0,1664.0,1612.0,1612.0,1660.0,-48.12,-2.9,933557.06,1358693.5
000001.SZ,20220523,1687.0,1687.0,1652.0,1660.0,1681.0,-21.27,-1.265,647725.94,962683.75
000001.SZ,20220520,1645.0,1683.0,1642.0,1681.0,1636.0,44.78,2.736,948597.75,1415164.8
000001.SZ,20220519,1628.0,1645.0,1623.0,1636.0,1651.0,-14.55,-0.8813,590921.75,863214.1
000001.SZ,20220518,1662.0,1667.0,1642.0,1651.0,1646.0,4.477,0.272,778578.3,1150500.5
000001.SZ,20220517,1624.0,1647.0,1603.0,1646.0,1613.0,33.56,2.082,931406.4,1357428.4
000001.SZ,20220516,1641.0,1649.0,1606.0,1613.0,1635.0,-22.39,-1.369,668227.8,965652.3
000001.SZ,20220513,1623.0,1641.0,1622.0,1635.0,1609.0,25.73,1.6,676311.94,985962.94
000001.SZ,20220512,1621.0,1630.0,1604.0,1609.0,1637.0,-27.98,-1.709,685064.25,987061.6
000001.SZ,20220511,1627.0,1661.0,1616.0,1637.0,1633.0,4.477,0.2742,848573.6,1240700.4
000001.SZ,20220510,1623.0,1634.0,1579.0,1633.0,1628.0,4.477,0.275,992285.0,1425836.9
