ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000001.SZ,20220831,12.38,12.78,12.36,12.75,12.48,0.27,2.164,1653041.6,2091408.4
000001.SZ,20220830,12.43,12.54,12.28,12.48,12.42,0.06,0.4832,799712.4,991447.6
000001.SZ,20220829,12.5,12.56,12.31,12.42,12.61,-0.19,-1.507,924490.6,1145189.1
000001.SZ,20220826,12.68,12.75,12.46,12.61,12.62,-0.01,-0.0792,927634.25,1168951.1
000001.SZ,20220825,12.4,12.66,12.3,12.62,12.4,0.22,1.774,1064010.6,1329230.4
000001.SZ,20220824,12.33,12.54,12.33,12.4,12.34,0.06,0.486,1295375.4,1613309.6
000001.SZ,20220823,12.45,12.49,12.28,12.34,12.5,-0.16,-1.28,921463.06,1137300.4
000001.SZ,20220822,12.58,12.68,12.41,12.5,12.57,-0.07,-0.557,1138076.6,1423361.9
000001.SZ,20220819,12.27,12.75,12.23,12.57,12.25,0.32,2.611,2106417.2,2653471.0
000001.SZ,20220818,12.48,12.54,12.16,12.25,12.4,-0.15,-1.21,1269701.0,1560630.6
000001.SZ,20220817,12.15,12.42,12.07,12.4,12.13,0.27,2.227,1348506.6,1656961.6
000001.SZ,20220816,12.11,12.2,12.1,12.13,12.11,0.02,0.1652,631223.7,765907.25
000001.SZ,20220815,12.29,12.36,12.09,12.11,12.38,-0.27,-2.182,1172010.0,1425087.5
000001.SZ,20220812,12.26,12.41,12.2,12.38,12.35,0.03,0.2429,820503.56,1010612.44
000001.SZ,20220811,12.08,12.39,12.04,12.35,12.06,0.29,2.404,1399303.6,1710719.5
000001.SZ,20220810,12.12,12.24,12.02,12.06,12.12,-0.06,-0.495,683023.2,825806.0
000001.SZ,20220809,12.21,12.22,12.08,12.12,12.2,-0.08,-0.656,558447.56,677098.6
000001.SZ,20220808,12.25,12.36,12.16,12.2,12.31,-0.11,-0.8936,551999.7,674950.94
